rank,customerID,churn_proba,risk_level,risk_label_cn,strategy,report_time,top_risk_factors,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,gender,churnReason,churn_reason_summary,ai_retention_plan
1,7216-EWTRS,0.9481,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:23:51,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,100.8,100.8,Month-to-month,Fiber optic,Electronic check,Female,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥101/月)；在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"### 核心流失原因分析
1. **月付合约**：客户签订的是月付合约，对价格敏感，容易因费用增加而选择离开。
2. **消费金额较低**：当前消费金额较低，可能是因为对服务不满意，或者没有享受到相应的增值服务。
### 针对性挽留措施
1. **延长合约期**：提供优惠延长合约期至半年或一年，降低月费，同时赠送一定额度的通信费用。
2. **增加增值服务**：赠送半年期的在线安全服务，提升客户体验和满意度。
3. **专属客户经理**：指派专属客户经理，进行一对一服务，及时解决客户问题，增强客户黏性。
4. **优惠套餐组合**：提供高性价比的套餐组合，结合当前消费金额，增加客户的感知价值。
5. **紧急挽留电话**：安排专门团队进行电话回访，了解客户的具体需求和不满意的原因，针对性给予解决方案。
### 优先级建议
三、**延长合约期**：优先级最高，通过减少月费负担来留住客户。
三、**增加增值服务**：次优先级，通过提高服务品质增加客户满意度。
三、**专属客户经理**：优先级中等，通过个性化服务增强客户黏性。
4. **优惠套餐组合**：优先级中等，提供更多选择，提升客户感知价值。
5. **紧急挽留电话**：优先级最低，作为最后的手段，确保客户问题得到及时解决。
通过上述具体措施，可以有针对性地解决客户流失的核心问题，提高挽留成功率。"
2,1699-TLDLZ,0.9386,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:23:51,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,16,19.7,301.55,Two year,No,Mailed check,Female,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,在网时间(16个月)，仍处于流失高风险期；无网络服务，增值业务少；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"**个性化挽留方案**
**一、核心流失原因分析**
1. **在网时长较长（16个月）**：该客户在网时间较长，表现出较强的忠诚度，但接近两年合约期满，存在续约不确定性。
2. **月消费金额较低（19.7元）**：客户当前的月消费金额较低，可能对服务的价值感知不足，导致续约意愿下降。
**二、针对性挽留措施**
三、**合约到期优惠**：该客户两年合约即将到期，建议提供合约期满后的优惠套餐，例如月费提升5-10元，额外赠送流量或分钟数，增强客户续约意愿。
三、**增加附加服务**：鉴于客户当前没有网络服务，建议提供额外的宽带或移动网络服务，增加客户粘性。同时，提供不限量套餐，确保客户获得良好的使用体验。
3. **个性化关怀**：定期向客户发送关怀信息，询问客户使用体验，提供专属客户经理一对一服务，解决客户使用过程中遇到的问题，提升客户满意度。
4. **提高附加值**：向客户推荐一些附加服务，例如紧急开机服务、视频通话等，增加客户对服务的价值感知。
5. **支付方式优化**：建议客户使用电子支付方式，例如支付宝或微信支付，减少客户支付不便的情况，提高支付体验。
**三、优先级建议**
二、**合约到期优惠**（优先级：1）：该措施直接关系到客户是否续约，优先解决。
三、**增加附加服务**（优先级：2）：提升客户使用体验，增强客户粘性。
三、**个性化关怀**（优先级：3）：提高客户满意度，促进客户续约。
4. **提高附加值**（优先级：4）：增强客户对服务的价值感知，增加续约意愿。
5. **支付方式优化**（优先级：5）：优化支付体验，提高客户使用便捷性。
以上方案旨在针对性地满足客户的需求，提高客户续约意愿，降低客户流失风险。"
3,4800-VHZKI,0.9361,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:23:51,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,1,19.9,19.9,Month-to-month,No,Mailed check,Female,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差,在网时间较短(1个月)，客户黏性不足；月付合同，转换成本低，易流失；无网络服务，增值业务少；邮寄支票支付，便捷性差,"### 客户挽留方案
#### 1. 核心流失原因分析
1. 合同类型为Month-to-month，易导致客户流失。
2. 长期在线在线服务未使用，可能因合同类型导致客户对安全服务的需求降低。
5. 在网时长较短，说明客户对现有服务感知不深。
#### 2. 针对性挽留措施
1. 调整合同类型：提供灵活的合约选项，如以优惠套餐吸引客户转为半年或一年合约。
5. 优化在线安全服务：根据客户实际需求，增强或重新设计在线安全功能，提高客户感知度。
6. 提供阶段性优惠：提供连续3-6个月的月费减免，增强客户对长期服务价值的认知。
7. 强化客户关系管理：通过电话或短信形式进行个性化关怀，了解客户具体需求并提供针对性解决方案。
8. 简化支付流程：提供便捷的在线支付方式，减少客户支付时的繁琐步骤，提高用户满意度。
####  1. 优先级建议
1. 第调合同类型 > 优化在线安全服务 > 提供阶段性优惠 > 强化客户关系管理 > 简化支付流程
以上措施需结合客户的具体情况灵活调整，重点在于增强客户对现有服务的价值感知，提高客户满意度。"
4,9667-TKTVZ,0.9346,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:23:51,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,2,54.35,117.05,Month-to-month,DSL,Mailed check,Female,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,在网时间较短(2个月)，客户黏性不足；月付合同，转换成本低，易流失；邮寄支票支付，便捷性差；流失概率极高，需立即挽留,"挽留方案：客户ID: 9667-TKTVZ
一、核心流失原因分析：
1. 在网时长较短：客户仅在网2个月，短期内未能建立足够的用户忠诚度。
2. 技术支持服务使用频繁：客户经常使用技术支持服务，表明其对网络稳定性或服务质量有一定不满。
二、针对性挽留措施：
1. 增值服务优惠：提供一个月免费的增值服务（如VIP客服、网络加速等），以降低其对技术支持服务的依赖。
三、月付改年付：建议客户将当前的月付模式改为年付，降低月费至45.30元/月，提高客户的长期使用意愿。
3. 优化网络服务：提高网络质量和稳定性，减少网络中断情况，满足客户对网络服务质量的需求。
4. 专属客户经理：为客户提供专属客户经理服务，定期关怀并了解客户需求，解决其使用过程中的问题，提高客户满意度。
5. 增加会员权益：为客户提供一定期限的会员权益（如流量包、优惠券等），增加其对产品的黏性。
三、优先级建议：
1. 首选增加会员权益，提高其对产品的黏性，降低流失风险。
2. 其次为专属客户经理服务，定期关怀客户，提供个性化解决方案。
3. 然后为优化网络服务，提高网络质量和稳定性。
4. 最后为月付改年付和增值服务优惠，降低月费并提高客户使用体验。"
5,2380-DAMQP,0.9335,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:23:51,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,72,115.15,8349.7,Two year,Fiber optic,Electronic check,Female,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,月租费用偏高(¥115/月)；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,"**挽留方案**
**核心流失原因分析**
1. **合同类型**：Two year合同即将到期，客户可能在寻找更优惠的续约方案。
2. **在网时长**：在网时长72个月，客户感知到服务的稳定性，但可能对当前套餐性价比产生质疑。
**针对性挽留措施**
1. **提供灵活续约方案**：推出灵活的续约优惠方案，如“年付”或“月付”的选择，降低一次性支付压力。
2. **优化在线安全服务**：调整或降低在线安全服务费用，以缓解客户对此服务的过高感知。
3. **个性化套餐推荐**：根据客户历史消费记录和当前使用情况，推荐符合需求的套餐升级方案，提高性价比。
4. **专属客服沟通**：安排专属客服进行一对一沟通，详细了解客户续约意愿和需求，提供定制化服务。
5. **提供额外优惠**：为客户提供额外的促销优惠，如积分奖励、流量赠送或家庭成员优惠等，以增强续约吸引力。
**优先级建议**
三、**优先级1：提供灵活续约方案**（重要性：高，紧迫性：高）。
三、**优先级2：优化在线安全服务**（重要性：中，紧迫性：中）。
三、**优先级3：个性化套餐推荐**（重要性：中，紧迫性：中）。
4. **优先级4：专属客服沟通**（重要性：中，紧迫性：中）。
5. **优先级5：提供额外优惠**（重要性：低，紧迫性：低）。
通过上述措施，可以有效提升客户满意度，降低流失风险。"
6,9420-LOJKX,0.9287,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:23:51,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,15,99.1,1426.4,Month-to-month,Fiber optic,Credit card (automatic),Female,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,月租费用偏高(¥99/月)；在网时间(15个月)，仍处于流失高风险期；月付合同，转换成本低，易流失；光纤用户对网络质量要求高,"### 个性化挽留方案
#### 核心流失原因分析
1. **合同类型**：客户为月付用户，缺乏长期稳定性。
* **月消费金额**：客户月消费金额为99.1，相对较高，可能导致客户认为不划算。
#### 针对性挽留措施
1. **优惠升级方案**：提供为期一年的优惠套餐（如80.5元/月），同时提供免费或优惠的额外服务（如：家庭网络服务升级套餐）。
* **合约锁定**：提供合约锁定优惠（如：1600元/年的合约锁定费，可2%折扣），确保客户长期稳定使用。
* **专属客户经理**：指派一位专属客户经理，定期跟进客户需求，提供个性化服务建议。
* **特别优惠活动**：举行限时优惠活动，如客户立即签约，可额外赠送一年免费服务或优惠券。
#### 优先级建议
三、**合约锁定**：优先级1
* **优惠升级方案**：优先级2
* **特别优惠活动**：优先级3
* **专属客户经理**：优先级4
此方案针对客户的具体情况，从直接经济激励到情感维系等多方面入手，以增强客户黏性。"
7,9633-DENPU,0.9271,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:23:51,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,47,58.6,2723.4,Month-to-month,DSL,Bank transfer (automatic),Female,月付合同，转换成本低，易流失；流失概率极高，需立即挽留,月付合同，转换成本低，易流失；流失概率极高，需立即挽留,"### 个性化挽留方案
#### 核心流失原因分析
1. 1. 技术支持服务（偏高）（贡献度:  0.2256）
2. 月消费金额：58.6（贡献度:  0.2217）
#### 针对性留措施
1. **降低技术支持费用****
- 尽可能降低该客户的月度技术支持费用，例如通过包年方式降低费用，或提供优惠套餐。
- **优先级：1**
2. **提升网络服务质量****
- 优化客户使用的DSL网络质量，增加带宽速度，减少网络中断。
- **优先级：1**
3. **增加月消费金额优惠****
- 提供捆绑优惠套餐，增加客户月消费，例如结合宽带和其他增值服务，提供一定的折扣。
- **优先级：1**
4. **延长合约期限****
- 为该客户提供月付转年付的优惠，降低月付方式的流动性风险。
- **优先级：**
### 个性化挽留方案
#### 核心流失原因分析
1. 技术支持服务（偏高）（贡献度:  0.2256）
2. 月消费金额：58.6（贡献度:  0.2217）
#### 针对挽留措施
### 个性化挽留方案
#### 核心流失原因分析
"",""
1. 技术支持服务（偏高）（贡献度:  0.2256）
2. 月消费金额：58.6（贡献度:  0.0217）
#### 针对挽留措施
1. **降低技术支持费用**
- 通过包年方式降低技术支持费用，例如提供半年或一年的包年优惠，降低月度费用。
- **优先级：1. 2. **优化网络服务质量**
- 增加客户使用的DSL网络带宽，优化网络稳定性，减少网络中断和。
- **优先级：1
. **增加月消费金额优惠**
- 提供宽带服务和其他增值服务的捆绑优惠，增加客户月消费金额，例如提供50%的折扣。
- **优先级：**
3. **延长合约期限**
- 为该客户提供月付转年付的优惠，降低月付方式的流动性风险。
- **优先级：**
### 优先级建议
三、1. 降低技术支持费用：优先级1"
8,5553-AOINX,0.9269,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:23:51,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,66,104.9,6891.45,One year,Fiber optic,Electronic check,Female,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,月租费用偏高(¥105/月)；年付合同即将到期，需重点关注；光纤用户对网络质量要求高；电子支票支付，账单拖欠风险较高,"核心流失原因分析：
1. 月消费金额偏高但仍在使用同一套餐多年，可能对价格敏感。
2. 在网时长较长，但未享受到更高阶的套餐或服务，存在潜在的升级需求。
3. 合同剩余时间较长，造成客户对当前服务的满意度不高，存在转向竞争对手的风险。
针对性挽留措施：
1. 提供个性化的套餐升级方案，针对客户需求提供更优惠的套餐选项，同时增加如网络加速、优先客服等附加服务，以提升客户感知价值。
2. 终止当前的长期合约，改为月付或半年合约，以减少客户的锁定成本。
3. 结合客户每月104.9元的消费金额，提供“月消费达标返现/积分”活动，激励客户继续使用并提升客户粘性。
4. 针对在线安全服务偏高，可提供更高效的在线安全服务，降低客户对安全服务的顾虑。
5. 增加高级客户服务体验，如VIP专属服务、节假日关怀等，以提高客户满意度和忠诚度。
优先级建议：
1. 首要任务是提供个性化的套餐升级方案，以吸引客户选择更优惠的套餐。
2. 其次，通过终止长期合约改为月付或半年合约，降低客户的锁定成本。
3. 接下来，提供“月消费达标返现/积分”活动，增加客户的使用黏性。
4. 针对在线安全服务偏高，提供更高效的在线安全服务。
5. 最后，增加高级客户服务体验，提高客户满意度和忠诚度。
建议立即执行上述措施，以提高挽留成功率。"
9,3549-ZTMNH,0.9202,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:23:51,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,12,24.0,269.65,Two year,No,Bank transfer (automatic),Male,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留,在网时间(12个月)，仍处于流失高风险期；无网络服务，增值业务少；流失概率极高，需立即挽留,"###客户ID345个性化挽留方案：
###核心流失原因分析：
1. 合同类型：两周年合同即将到期，客户面临重新选择的的风险。
- 在 in长(月)：在网时间较长，客户可能对对于服务的可能的有所倦怠。
- 月消费金额：当前月消费金额较低，可能影响影响到客户对对于服务的的满意度。
###针对性挽留措施：
1. 吻合客户合同到期时间，主动联系客户，，提前告知合同到期信息，并年，，提供客户了解情况，，并提供客户有选择性续签合同或提前终止合同的时间。
1. 根据客户当前的月消费金额低的问题，提供更高性价比的的资费套餐选项，提供客户试用不同新套餐是否提供客户最新的套餐优惠信息。
5. 性质化服务提升：针对客户当前的的网络服务类型为“无”，提供更优质的服务选项，包括提供更快速的的网络服务或更高质量的的服务。
5. 网络服务类型优化：鉴于客户当前的网络服务类型为“无”，提供更全面的的信息服务选项，例如提供更丰富的内容服务或更快速快速的的服务。
5. 签约激励：提供客户签约或提前续签合同的的额外优惠或奖励，。
###优先级建议：
优先级1：首先客户服务 type，合同到期通知，其次客户月消费金额优化优化选择新套餐，再然后提供更优质的服务内容，最后提供签约激励优惠。"
10,4701-MLJPN,0.9192,HIGH,[高风险],"① 立即分配专属客服进行一对一回访
② 提供个性化优惠套餐（折扣率 20%-30%）",2026-04-20 14:23:51,合同类型 | 在网时长(月) | 累计消费金额 | 在线安全服务 | 月消费金额,31,55.25,1715.65,Month-to-month,DSL,Electronic check,Male,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,月付合同，转换成本低，易流失；电子支票支付，账单拖欠风险较高；流失概率极高，需立即挽留,"### 客户挽留方案
#### 核心流失原因分析
1. **在网时长较久**：客户在网时长已达到31个月，表明存在一定的用户忠诚度，但长期续约可能导致客户对服务不满。
2. **月度合同**：客户签订的是月度合同，缺乏长期承诺，容易导致客户因为价格或服务质量变动而选择离开。
#### 针对性挽留措施
三、**提供长期合约优惠**：建议提供半年或一年的合约优惠套餐，降低月度合同带来的灵活性，增加客户续约的可能性。
2. **个性化服务体验**：基于客户当前的使用习惯和偏好，提供个性化的服务体验，比如定制化网络优化方案或安全防护服务。
3. **增加通信服务附加价值**：提供额外的增值服务，如家庭宽带套餐、智能设备连接服务等，以提高服务的附加价值。
4. **专属客户经理跟进**：为该客户分配一名专属客户经理，定期进行回访，了解客户需求，及时解决潜在问题。
5. **优惠套餐推广**：针对客户当前使用的DSL服务，推出升级套餐，并提供一定的折扣优惠，以提升服务质量和客户满意度。
#### 优先级建议
三、**提供长期合约优惠**：优先级最高，可以有效增加客户续约意愿。
三、**专属客户经理跟进**：次优先级，通过一对一的服务增强客户粘性。
三、**个性化服务体验**：次优先级，根据客户具体需求提供定制化服务。
4. **增加通信服务附加价值**：建议次优先级，通过增值服务提升客户体验。
5. **优惠套餐推广**：最低优先级，作为补充措施提升客户满意度。
通过以上针对性措施，可以有效提升客户满意度，降低流失概率。"
